metric_id,institution,city,segment,metric_name,period,value,value_text,unit,comparison_type,is_forecast,source_page,source_quote,source_file,审核结果,错误类型,备注
3639,Goldman Sachs,全国,macro,price_bottom_timing,2026-03,,2028-2029,text,,1,,"Ms. Qin expects the property market downward trend to continue in 2026 despite some recent positive development in the secondary market and her expectations of: 1) improving execution on de-stocking by government; 2) HPF (Housing Provident Fund) reforms to kick off this year; 3) accelerating urban renewal projects in the 15th Five-Year Plan (Rmb10tn). If de-stocking execution remains slow, Ms. Qin expects at least another 2-3 years of downturn before the property industry recovers on its own. In addition, she expects the property developer industry to adopt new models including introduction of principle bank for each developer, ring-fenced project-level funding structure, and completed properties sales model (vs. current pre-sales model) to strengthen risk management and promote healthier development of the industry in the longer run. In the near to medium term, she sees zero tolerance from top leadership on any defaults from central SOE developers while defaults from local SOEs and POEs will be carefully controlled on case by case basis to avoid negative sentiment impact.",report_gs_expert_202603.jsonl,,,
3641,Goldman Sachs,一线,secondary_home,yoy_change_pct,2026Q1,-40.0,,pct,,0,,"Tier-1 cities in Mainland China remain on a downward trajectory, with cumulative price declines reaching around 40% from peak levels (Exhibit 1).",report_gs_hk_lessons_202604.jsonl,,,
3643,Goldman Sachs,香港,secondary_home,price_bottom_timing,2026-04,,mid-2025,text,,0,,"Hong Kong's residential property prices appeared to have bottomed out in mid-2025 following a multi-year correction, with prices increasing by nearly 10% since 2025Q2 and transaction volume also recovering.",report_gs_hk_lessons_202604.jsonl,,,
3659,Goldman Sachs,北京,secondary_home,avg_price,2025,37300.0,,CNY_per_sqm,,0,,| Beijing   | 21.8                 | -0.1%                           | 92.5                | 4.6%                            | 37.3                     | 16.2x                  | 28.2                  |,report_gs_neg_equity_202602.jsonl,,,
3660,Goldman Sachs,上海,secondary_home,avg_price,2025,29000.0,,CNY_per_sqm,,0,,| Shanghai  | 24.8                 | 0.0%                            | 93.1                | 4.8%                            | 29.0                     | 12.5x                  | 37.3                  |,report_gs_neg_equity_202602.jsonl,,,
3667,Goldman Sachs,全国,new_home,yoy_change_pct,2026-03,-17.4,,pct,,0,,"- New home starts: - 17.4% yoy in March, vs. - 23.1% yoy in January-February.",report_gs_q1gdp_202604.jsonl,,,
3668,Goldman Sachs,全国,new_home,yoy_change_pct,2026-02,-23.1,,pct,,0,,"- New home starts: - 17.4% yoy in March, vs. - 23.1% yoy in January-February.",report_gs_q1gdp_202604.jsonl,,,
3671,Goldman Sachs,上海,,price_bottom_timing,2026Q4,,2026Q4,text,,1,,"Following HK's housing market recovery, we believe SH and SZ are likely to see broad recovery by 4Q26 , underpinned by historical lead-lag patterns, structural demand drivers, and potential rotation of high-net-worth buyer allocation back to domestic core property markets (aforementioned).",report_gs_tier1_202604.jsonl,,,
3673,Goldman Sachs,上海,,price_change_forecast_pct,2028,15.0,,pct,,1,,"We now model 15% property price increase from end-25 to end-28 for both cities (vs. nationwide -3%/-3%/0% yoy), leading to an average 5%, 2% and 2% increase in 2028E core earnings, end-26E NAV, and 12-month NAV based target prices for our DP coverage universe.",report_gs_tier1_202604.jsonl,,,
3686,Goldman Sachs,全国,new_home,yoy_change_pct,2026Q1,-7.0,,pct,,0,,Blended ASP in Mar was +1% mom and -6% yoy (vs. -6% from Dec-25 and -9% yoy n in 2M26) and 1Q26 ASP was -7% yoy.,report_gs_tracker_202604.jsonl,,,
3690,Goldman Sachs,一线,secondary_home,yoy_change_pct,2026Q1,-3.0,,pct,,0,,"Secondary transaction volumes in 15 major cities were +112% mom and -8% yoy in n Mar, and were -8% yoy in 1Q26 (vs. -9% yoy in 2M26 and above the high-teens % declines in prior GSe); Tier-1 cities recorded +2% yoy in Mar and -3% yoy in1QM26 (vs. -8% yoy in 2M26).",report_gs_tracker_202604.jsonl,,,
3701,Goldman Sachs,全国,secondary_home,yoy_change_pct,2026-03,-14.0,,pct,,0,,March: Primary GFA sold on median was +68% mom and was -16% yoy; Secondary GFA sold on median was +74% mom n and -14% yoy.,report_gs_wrap13_202603.jsonl,,,
3704,Goldman Sachs,全国,new_home,inventory_months,2026-03,29.3,,months,mom,0,,"Inventory balance was -0.5% wow, with inventory months at 29.3 (vs. average 30.0 in Feb-26).",report_gs_wrap13_202603.jsonl,,,
3707,Goldman Sachs,全国,new_home,yoy_change_pct,2026-08,-1.0,,pct,,0,,"New homes sales volume was -22% wow and - 1% yoy, and new home search activities also declined by 0.9% wow.",report_gs_wrap32_202608.jsonl,,,
3711,Goldman Sachs,全国,secondary_home,yoy_change_pct,2026-08,1.0,,pct,,0,,YTD: Primary GFA sold on average was - 11% yoy and was - 17%/-38% vs. the 2024/2023 level; secondary GFA sold on average was +1% yoy and was + 14%/+13% vs. the 2024/2023 level.,report_gs_wrap32_202608.jsonl,,,
3713,J.P. Morgan,北京,macro,mortgage_rate,2026-08,3.05,,pct,,0,,Commercial 商业房贷 | 1st home mortgage rate mortgage | 3.05% (LPR-45bps) | 3.05% (LPR-45bps),report_jpm_bj_202608.jsonl,,,
3716,J.P. Morgan,北京,rental,rental_yield,2026-08,2.0,,pct,,0,,"Although Beijing's overall rental yield is still &lt;2%, rental yield in some small units (especially those in core districts) could hit &gt;3%.",report_jpm_bj_202608.jsonl,,,
3732,J.P. Morgan,上海,new_home,mom_change_pct,2026-03,0.3,,pct,,0,,| Shanghai                     | 0.7%     | 0.4%     | 0.3%     | 0.4%     | 0.3%     | 0.3%     | 0.1%     | 0.2%     | 0.0%     | 0.2%     | 0.3%     | 0.4%     |,report_jpm_chartbook_202606.jsonl,,,
3735,J.P. Morgan,广州,new_home,mom_change_pct,2026-02,0.0,,pct,,0,,| Guangzhou                    | -0.8%    | -0.5%    | -0.3%    | -0.2%    | -0.6%    | -0.8%    | -0.5%    | -0.6%    | -0.6%    | 0.0%     | 0.3%     | 0.1%     |,report_jpm_chartbook_202606.jsonl,,,
3744,J.P. Morgan,一线,new_home,mom_change_pct,2026-03,0.2,,pct,,0,,| Tier-1 Primary (NBS)         | - 0.2%   | -0.2%    | -0.2%    | -0.2%    | -0.3%    | -0.3%    | -0.5%    | -0.3%    | -0.3%    | 0.0%     | 0.2%     | 0.1%     |,report_jpm_chartbook_202606.jsonl,,,
3750,J.P. Morgan,上海,secondary_home,mom_change_pct,2026-01,-0.4,,pct,,0,,| Shanghai                     | -0.7%    | -0.7%    | -0.9%    | -1.0%    | - 1.0%   | -0.9%    | -0.8%    | -0.6%    | -0.4%    | 0.2%     | 0.4%     | 0.7%     |,report_jpm_chartbook_202606.jsonl,,,
3756,J.P. Morgan,广州,secondary_home,mom_change_pct,2026-03,0.2,,pct,,0,,| Guangzhou                    | -0.8%    | -0.7%    | -1.0%    | -0.9%    | -0.8%    | -0.9%    | - 1.2%   | - 1.0%   | -0.7%    | -0.5%    | 0.2%     | 0.2%     |,report_jpm_chartbook_202606.jsonl,,,
3757,J.P. Morgan,广州,secondary_home,mom_change_pct,2026-04,0.2,,pct,,0,,| Guangzhou                    | -0.8%    | -0.7%    | -1.0%    | -0.9%    | -0.8%    | -0.9%    | - 1.2%   | - 1.0%   | -0.7%    | -0.5%    | 0.2%     | 0.2%     |,report_jpm_chartbook_202606.jsonl,,,
3758,J.P. Morgan,深圳,secondary_home,mom_change_pct,2026-01,-0.6,,pct,,0,,| Shenzhen                     | -0.5%    | -0.5%    | -0.9%    | -0.8%    | -1.0%    | -0.9%    | -1.0%    | -0.6%    | -0.6%    | -0.4%    | 0.4%     | 0.3%     |,report_jpm_chartbook_202606.jsonl,,,
3772,J.P. Morgan,上海,secondary_home,mom_change_pct,2026-03,1.0,,pct,,0,,| Shanghai                     | - 1.4%   | - 1.4%   | -1.7%    | -1.7%    | - 1.5%   | -2.2%    | -2.0%    | -2.8%    | -0.5%    | 0.9%     | 1.0%     | 1.6%     |,report_jpm_chartbook_202606.jsonl,,,
3789,J.P. Morgan,深圳,secondary_home,secondary_volume_units,2026-05,1391.0,,units,yoy,0,,"| 31-May-26   | 3,799          | 5,488                   | 2,694          | 1,391          | 5,408 2,694 1,391 13,3/2 30,110 13,372 | 30,110         | 19%   | 11%   | 35%   | 29%   | 19%   | 22%           | 16%                 | 18%                 | 16% 18% 26% 25% 20% 19% 26% | 25%                 | 20%                 | 19%                 |",report_jpm_chartbook_202606.jsonl,,,
3818,J.P. Morgan,广州,secondary_home,listing_units,2026-06,137000.0,,units,,0,,"| 28-Jun-26   | 120                                     | 82                                      | 137                                     | 86                                      | 425                                     | 1,395                                   | 0.2%  | -0.3% | 0.2%  | -2.9% | -0.6%     | 0.1%  |",report_jpm_chartbook_202606.jsonl,,,
3823,J.P. Morgan,全国,developer,developer_sales_amount,2026-02,930.0,,CNY_100m,yoy,0,,February  2026  even  recorded  the  lowest monthly sales by absolute value (Rmb93 bn) since the liquidity crisis began in 2021,report_jpm_feb_202603.jsonl,,,
3837,J.P. Morgan,,developer,developer_sales_amount,2026-02,150.0,,CNY_100m,yoy,0,,| 3      | 3         | 0   | CR Land                    | 华润置地   | Y    | 15                    | -13%   | 7                     | -22%       |,report_jpm_feb_202603.jsonl,,,
3852,J.P. Morgan,,developer,developer_sales_amount,2026-02,20.0,,CNY_100m,yoy,0,,| 10     | 15        | 5   | Greenland Holdings         | 绿地控股   | N    | 5                     | -15%   | 2                     | -45%       |,report_jpm_feb_202603.jsonl,,,
3857,J.P. Morgan,,developer,developer_sales_amount,2026-02,40.0,,CNY_100m,yoy,0,,| 13     | 9         | -4  | China Railway Construction | 中国铁建   | Y    | 4                     | -54%   | 1                     | -72%       |,report_jpm_feb_202603.jsonl,,,
3859,J.P. Morgan,,developer,developer_sales_amount,2026-02,40.0,,CNY_100m,yoy,0,,| 14     | 46        | 32  | China Construction Yipin   | 中建壹品   | Y    | 4                     | 143%   | 2                     | 180%       |,report_jpm_feb_202603.jsonl,,,
3862,J.P. Morgan,,developer,developer_sales_amount,2026-02,20.0,,CNY_100m,yoy,0,,| 15     | 13        | -2  | Binjiang                   | 滨江集团   | N    | 4                     | -36%   | 2                     | -36%       |,report_jpm_feb_202603.jsonl,,,
3863,J.P. Morgan,,developer,developer_sales_amount,2026-02,40.0,,CNY_100m,yoy,0,,| 16     | 16        | 0   | Poly Property              | 保利置业   | Y    | 4                     | -25%   | 1                     | -29%       |,report_jpm_feb_202603.jsonl,,,
3874,J.P. Morgan,,developer,developer_sales_amount,2026-02,10.0,,CNY_100m,yoy,0,,| 21     | 7         | -14 | Huafa Industrial           | 华发股份   | Y    | 3                     | -75%   | 1                     | -77%       |,report_jpm_feb_202603.jsonl,,,
3882,J.P. Morgan,,developer,developer_sales_amount,2026-02,20.0,,CNY_100m,yoy,0,,| 26     | 30        | 4   | Xiamen ITG Holding         | 国贸地产   | Y    | 2                     | -24%   | 1                     | -14%       |,report_jpm_feb_202603.jsonl,,,
3898,J.P. Morgan,,developer,developer_sales_amount,2026-02,100.5,,CNY_100m,yoy,0,,"| China Resources Land          | 1109 HK   | 21,700              | 10,050                           | -14%               | -26%     | -15%                  | 2%                    | -14%              |",report_jpm_feb_202603.jsonl,,,
3906,J.P. Morgan,,developer,developer_sales_amount,2026-02,129.3,,CNY_100m,yoy,0,,"| Jinmao                        | 817 HK    | 12,930              | 5,327                            | 16%                | 21%      | -49%                  | -52%                  | -30%              |",report_jpm_feb_202603.jsonl,,,
3940,J.P. Morgan,,developer,developer_sales_amount,2026-02,0.8,,CNY_100m,yoy,0,,"| Shimao                        | 813 HK    | 1,590               | 80                               | -61%               | -96%     | -93%                  | -99%                  | -95%              |",report_jpm_feb_202603.jsonl,,,
3958,J.P. Morgan,,developer,developer_sales_amount,2026-02,4.3,,CNY_100m,yoy,0,,| Powerlong                     | 1238 HK   | 900                 | 430                              | -31%               | -29%     | -88%                  | -88%                  | -9%               |,report_jpm_feb_202603.jsonl,,,
3963,J.P. Morgan,,developer,developer_sales_amount,2026-02,2.6,,CNY_100m,yoy,0,,| Ronshine                      | 3301 HK   | 260                 | 42                               | -59%               | -85%     | -98%                  | -99%                  | -81%              |,report_jpm_feb_202603.jsonl,,,
3972,J.P. Morgan,北京,new_home,mom_change_pct,2025-06,-0.3,,pct,,0,,| Beijing                      | 0.1%     | -0.4%    | -0.3%    | 0.0%     | -0.4%    | 0.2%     | -0.1%    | -0.5%    | -0.4%    | -0.3%    | 0.2%     | 0.0%     |,report_jpm_goldenweek_202605.jsonl,,,
3973,J.P. Morgan,北京,new_home,mom_change_pct,2025-07,0.0,,pct,,0,,| Beijing                      | 0.1%     | -0.4%    | -0.3%    | 0.0%     | -0.4%    | 0.2%     | -0.1%    | -0.5%    | -0.4%    | -0.3%    | 0.2%     | 0.0%     |,report_jpm_goldenweek_202605.jsonl,,,
3980,J.P. Morgan,北京,new_home,mom_change_pct,2026-02,0.2,,pct,,0,,| Beijing                      | 0.1%     | -0.4%    | -0.3%    | 0.0%     | -0.4%    | 0.2%     | -0.1%    | -0.5%    | -0.4%    | -0.3%    | 0.2%     | 0.0%     |,report_jpm_goldenweek_202605.jsonl,,,
3991,J.P. Morgan,上海,new_home,mom_change_pct,2026-01,0.0,,pct,,0,,| Shanghai                     | 0.5%     | 0.7%     | 0.4%     | 0.3%     | 0.4%     | 0.3%     | 0.3%     | 0.1%     | 0.2%     | 0.0%     | 0.2%     | 0.3%     |,report_jpm_goldenweek_202605.jsonl,,,
3995,J.P. Morgan,广州,new_home,mom_change_pct,2025-05,-0.8,,pct,,0,,| Guangzhou                    | -0.2%    | -0.8%    | -0.5%    | -0.3%    | -0.2%    | -0.6%    | -0.8%    | -0.5%    | -0.6%    | -0.6%    | 0.0%     | 0.3%     |,report_jpm_goldenweek_202605.jsonl,,,
4004,J.P. Morgan,广州,new_home,mom_change_pct,2026-02,0.0,,pct,,0,,| Guangzhou                    | -0.2%    | -0.8%    | -0.5%    | -0.3%    | -0.2%    | -0.6%    | -0.8%    | -0.5%    | -0.6%    | -0.6%    | 0.0%     | 0.3%     |,report_jpm_goldenweek_202605.jsonl,,,
4015,J.P. Morgan,深圳,new_home,mom_change_pct,2026-01,-0.4,,pct,,0,,| Shenzhen                     | -0.1%    | -0.4%    | -0.6%    | -0.6%    | -0.4%    | -1.0%    | -0.7%    | -0.9%    | -0.5%    | -0.4%    | -0.3%    | 0.2%     |,report_jpm_goldenweek_202605.jsonl,,,
4017,J.P. Morgan,深圳,new_home,mom_change_pct,2026-03,0.2,,pct,,0,,| Shenzhen                     | -0.1%    | -0.4%    | -0.6%    | -0.6%    | -0.4%    | -1.0%    | -0.7%    | -0.9%    | -0.5%    | -0.4%    | -0.3%    | 0.2%     |,report_jpm_goldenweek_202605.jsonl,,,
4020,J.P. Morgan,一线,new_home,mom_change_pct,2025-06,-0.2,,pct,,0,,| Tier-1 Primary (NBS)         | 0.1%     | -0.2%    | -0.2%    | -0.2%    | -0.2%    | -0.3%    | -0.3%    | -0.5%    | -0.3%    | -0.3%    | 0.0%     | 0.2%     |,report_jpm_goldenweek_202605.jsonl,,,
4036,J.P. Morgan,北京,secondary_home,mom_change_pct,2025-10,-1.1,,pct,,0,,| Beijing                      | -0.6%    | -0.8%    | -1.0%    | -1.1%    | -1.2%    | -0.9%    | -1.1%    | -1.3%    | -1.3%    | -0.2%    | 0.3%     | 0.6%     |,report_jpm_goldenweek_202605.jsonl,,,
4043,J.P. Morgan,上海,secondary_home,mom_change_pct,2025-05,-0.7,,pct,,0,,| Shanghai                     | 0.1%     | -0.7%    | -0.7%    | -0.9%    | -1.0%    | -1.0%    | -0.9%    | -0.8%    | -0.6%    | -0.4%    | 0.2%     | 0.4%     |,report_jpm_goldenweek_202605.jsonl,,,
4060,J.P. Morgan,广州,secondary_home,mom_change_pct,2025-10,-0.9,,pct,,0,,| Guangzhou                    | 0.0%     | -0.8%    | -0.7%    | -1.0%    | -0.9%    | -0.8%    | -0.9%    | -1.2%    | -1.0%    | -0.7%    | -0.5%    | 0.2%     |,report_jpm_goldenweek_202605.jsonl,,,
4067,J.P. Morgan,深圳,secondary_home,mom_change_pct,2025-05,-0.5,,pct,,0,,| Shenzhen                     | -0.3%    | -0.5%    | -0.5%    | -0.9%    | -0.8%    | -1.0%    | -0.9%    | -1.0%    | -0.6%    | -0.6%    | -0.4%    | 0.4%     |,report_jpm_goldenweek_202605.jsonl,,,
4070,J.P. Morgan,深圳,secondary_home,mom_change_pct,2025-08,-0.8,,pct,,0,,| Shenzhen                     | -0.3%    | -0.5%    | -0.5%    | -0.9%    | -0.8%    | -1.0%    | -0.9%    | -1.0%    | -0.6%    | -0.6%    | -0.4%    | 0.4%     |,report_jpm_goldenweek_202605.jsonl,,,
4092,J.P. Morgan,北京,secondary_home,mom_change_pct,2025-06,-1.6,,pct,,0,,| Beijing                      | -0.5%    | -0.9%    | -1.6%    | -1.5%    | -1.8%    | -2.1%    | -1.9%    | -1.9%    | -1.9%    | -0.5%    | 1.2%     | 1.5%     |,report_jpm_goldenweek_202605.jsonl,,,
4096,J.P. Morgan,北京,secondary_home,mom_change_pct,2025-10,-1.9,,pct,,0,,| Beijing                      | -0.5%    | -0.9%    | -1.6%    | -1.5%    | -1.8%    | -2.1%    | -1.9%    | -1.9%    | -1.9%    | -0.5%    | 1.2%     | 1.5%     |,report_jpm_goldenweek_202605.jsonl,,,
4107,J.P. Morgan,上海,secondary_home,mom_change_pct,2025-09,-1.5,,pct,,0,,| Shanghai                     | 0.2%     | -1.4%    | -1.4%    | -1.7%    | -1.7%    | -1.5%    | -2.2%    | -2.0%    | -2.8%    | -0.5%    | 0.9%     | 1.0%     |,report_jpm_goldenweek_202605.jsonl,,,
4135,J.P. Morgan,深圳,secondary_home,mom_change_pct,2026-01,-1.3,,pct,,0,,| Shenzhen                     | -0.9%    | -1.1%    | -0.5%    | -1.1%    | -1.0%    | -1.5%    | -0.5%    | -1.0%    | -1.6%    | -1.3%    | 0.9%     | 0.1%     |,report_jpm_goldenweek_202605.jsonl,,,
4171,J.P. Morgan,一线,secondary_home,yoy_change_pct,2025,-20.0,,pct,,0,,"Tier-1 cities saw more severe total price index declines in 2025, nearly 20%, as homes in tier-1 cities have stronger financial attributes.",report_jpm_iceberg_202604.jsonl,,,
4174,J.P. Morgan,上海,secondary_home,mom_change_pct,2026-02,0.0,,pct,,0,,| Total | 100.0% | 3.0% | 0.0% | -2.4% | -8.4% | -13.8% | -35.0% | -16.9% | 10.4% | Note: As of 28 February 2026,report_jpm_iceberg_202604.jsonl,,,
4175,J.P. Morgan,上海,secondary_home,yoy_change_pct,2026-02,-13.8,,pct,,0,,| Total | 100.0% | 3.0% | 0.0% | -2.4% | -8.4% | -13.8% | -35.0% | -16.9% | 10.4% | Note: As of 28 February 2026,report_jpm_iceberg_202604.jsonl,,,
4179,J.P. Morgan,全国,secondary_home,price_change_forecast_pct,2026-H2,-9.0,,pct,,1,,"While the correction may continue, the expert expects &lt;9% downside (i.e., unlikely to fall below the level in 2014/15).",report_jpm_iceberg_202607.jsonl,,,
4187,J.P. Morgan,北京,secondary_home,price_bottom_timing,2026-07,,2026-H2,text,,1,,"Shenzhen (2026 forecast: down 3-4%), Beijing/Guangzhou (2026 forecast: down 4-5%) and most core cities (2026 forecast: down 5-6%) may potentially bottom in late 2026 and stabilize in 2027.",report_jpm_iceberg_202607.jsonl,,,
4199,J.P. Morgan,上海,secondary_home,mom_change_pct,2026-07,0.4,,pct,,0,,| 7-10mn                    | 0.1%       | 0.4%       | 0.1%       | -0.6%      | -6.9%      | -23.3%     |,report_jpm_iceberg_202607.jsonl,,,
4204,J.P. Morgan,上海,secondary_home,yoy_change_pct,2026-07,-5.2,,pct,,0,,| 15-30mn                   | 0.0%       | -0.1%      | 0.3%       | -0.3%      | -5.2%      | -26.4%     |,report_jpm_iceberg_202607.jsonl,,,
4213,J.P. Morgan,深圳,secondary_home,mom_change_pct,2026-07,-0.4,,pct,,0,,| 5-7mn                     | -0.1%      | -0.4%      | -0.3%      | -0.6%      | -6.0%      | -18.0%     |,report_jpm_iceberg_202607.jsonl,,,
4226,J.P. Morgan,一线,secondary_home,mom_change_pct,2025-12,-1.26,,pct,,0,,"Per  CREIS, the 100-city secondary home  price  M/M  decline  narrowed  from  -0.97%  in  December  to  -0.85%  in  January  (tier-1  cities  only:  narrowed  from  -1.26%  in  December  to  -1.13%  in  January)  (Figure  5).",report_jpm_jan_202602.jsonl,,,
4228,J.P. Morgan,全国,developer,yoy_change_pct,2026-01,-21.0,,pct,,0,,"Top  100  developers'  sales  in  January also  remained  soft,  with  a  21%  Y/Y  decline  (report).",report_jpm_jan_202602.jsonl,,,
4235,J.P. Morgan,深圳,new_home,yoy_change_pct,2026-05,-21.0,,pct,yoy,0,,"Secondary transactions have outpaced primary home sales (38K/15K units in 2025/5M26, -21%/-21% yoy).",report_jpm_kshape_202606.jsonl,,,
4240,J.P. Morgan,深圳,secondary_home,price_bottom_timing,2026-06,,2026-01,text,,1,,"However, it has recovered by &gt;2% since Jan-26, indicating a price bottom.",report_jpm_kshape_202606.jsonl,,,
4248,J.P. Morgan,全国,secondary_home,price_change_forecast_pct,2026,-9.0,,pct,,1,,"The home price index may still see a 9% downside, if we benchmark to the bottom in 2015.",report_jpm_summit_202605.jsonl,,,
4254,J.P. Morgan,杭州,rental,rental_yield,2026-05,2.2,,pct,,0,,The city average is 2.2%,report_jpm_summit_202605.jsonl,,,
4264,J.P. Morgan,广州,secondary_home,mom_change_pct,2026-03,0.2,,pct,,0,,| Guangzhou                    | 0.0%     | -0.8%    | -0.7%    | -1.0%    | -0.9%    | -0.8%    | -0.9%    | -1.2%    | -1.0%    | -0.7%    | -0.5%    | 0.2%     |,report_jpm_tier1_202604.jsonl,,,
4265,J.P. Morgan,深圳,secondary_home,mom_change_pct,2026-03,0.4,,pct,,0,,| Shenzhen                     | -0.3%    | -0.5%    | -0.5%    | -0.9%    | -0.8%    | -1.0%    | -0.9%    | -1.0%    | -0.6%    | -0.6%    | -0.4%    | 0.4%     |,report_jpm_tier1_202604.jsonl,,,
4267,J.P. Morgan,北京,secondary_home,mom_change_pct,2026-03,1.5,,pct,,0,,| Beijing                      | -0.5%    | -0.9%    | -1.6%    | -1.5%    | -1.8%    | -2.1%    | -1.9%    | -1.9%    | -1.9%    | -0.5%    | 1.2%     | 1.5%     |,report_jpm_tier1_202604.jsonl,,,
4276,J.P. Morgan,一线,new_home,yoy_change_pct,2026Q1,-0.1,,pct,yoy,0,,| Tier-1 average        | 4.6%   | 2.6%   | -0.2%  | -4.0%  | -1.7%   | -0.1%      | -7.0%      |,report_jpm_tier1_202604.jsonl,,,
4282,J.P. Morgan,一线,secondary_home,yoy_change_pct,2026Q1,-0.2,,pct,yoy,0,,| Tier-1 average        | 5.4%   | 0.5%   | -3.4%  | -6.8%  | -6.9%   | -0.2%      | -17.7%     |,report_jpm_tier1_202604.jsonl,,,
4295,J.P. Morgan,全国,macro,price_change_forecast_pct,2026-03,-5.0,,pct,,1,,we expect most other key market indicators to remain on a downtrend in FY26E (home prices in non-tier 1 cities: down 5%; primary sales value: down 7%; new starts: down 10%),report_jpm_tier1_202604.jsonl,,,
4326,J.P. Morgan,一线,secondary_home,mom_change_pct,2026-05,0.3,,pct,,0,,| Tier-1 Secondary (NBS)       | -0.7% | -0.7%                  | -1.0%  | -1.0% -0.9% -0.9% |          |             | -1.1%    | -0.9%  | -0.5%       | -0.1%     | 0.4% | 0.4%  | 0.3%                                        |,report_jpm_weakness_202606.jsonl,,,
4334,J.P. Morgan,,secondary_home,yoy_change_pct,2026-06,1.0,,pct,,0,,"As of 21 June, 9-city (excluding Shanghai as data is not yet available as of the time of writing) real-time weekly secondary sales marginally rose 1% Y/Y (down from +12% Y/Y)",report_jpm_weakness_202606.jsonl,,,
4349,Morgan Stanley,全国,secondary_home,yoy_change_pct,2026-02,1.0,,pct,,0,,"Secondary home sales volume unexpectedly rebounded 17% y-y in March (range from - 25% to +90%)   in terms of real-time transactions in the 25 major cities we track (vs. +1% yy in 2M26). The rebound continued into April, with   faster growth of 30% y-y (range from - 15% to +74%) on a low base, pushing YTD growth to 14% y-y in 4M26 (range from -22% to +61%). This strong performance has led to mild m-m home price increases in Shanghai and Beijing (cumulatively up 1-2% in March to April), and a softer m-m home price decline in a number of Tier 2 cities.",report_ms_inflection_202605.jsonl,,,
